dialogue	turn	family	language	expected_move	depth	variation	critical	prompt
gd1_048	6	F10_complex_prose	it	explain	3	structured_summary	claim_limite	Distingui claim e cautela in due frasi.
gd1_049	1	F10_complex_prose	en	ack	1	conditional	valve	If the valve opens while pressure is high, the relief channel carries the excess flow.
gd1_049	2	F10_complex_prose	en	answer	2	condition	pressure	What conditions are stated?
gd1_049	3	F10_complex_prose	en	answer	2	effect	flow	What effect follows in the sentence?
gd1_049	4	F10_complex_prose	en	clarify	3	counterfactual	closed_valve	Does it say what happens when the valve stays closed?
gd1_049	5	F10_complex_prose	en	explain	3	scope	if	Explain why the effect is conditional.
gd1_049	6	F10_complex_prose	en	explain	3	procedure_boundary	description	Does this descriptive sentence by itself provide a safe operating procedure?
gd1_050	1	F10_complex_prose	it	ack	1	relative_apposition	curie	Marie Curie, fisica e chimica che studiò la radioattività, ricevette due premi Nobel.
gd1_050	2	F10_complex_prose	it	answer	2	apposition	professioni	Quali professioni sono espresse nell'apposizione?
gd1_050	3	F10_complex_prose	it	answer	2	relative	radioattivita	Che cosa studiò?
gd1_050	4	F10_complex_prose	it	answer	2	main_clause	premi	Che cosa dice la principale?
gd1_050	5	F10_complex_prose	it	clarify	3	scope	due	Il numero due modifica le professioni o i premi?
gd1_050	6	F10_complex_prose	it	explain	3	composition	tre_proposizioni	Scomponi senza perdere il referente condiviso.
gd1_051	1	F11_scientific_literature	en	ack	1	passive_claim	hemoglobin	Oxygen is bound by hemoglobin in red blood cells.
gd1_051	2	F11_scientific_literature	en	answer	2	patient	oxygen	What is bound?
gd1_051	3	F11_scientific_literature	en	answer	2	agent	hemoglobin	What binds it?
gd1_051	4	F11_scientific_literature	en	answer	2	location	red_blood_cells	Where is the relation situated?
gd1_051	5	F11_scientific_literature	en	clarify	3	causal_overreach	transport	Does this sentence alone establish every step of oxygen transport?
gd1_051	6	F11_scientific_literature	en	explain	3	claim_boundary	explicit	Separate the explicit claim from background inference.
gd1_052	1	F11_scientific_literature	it	ack	1	method	campioni	I ricercatori hanno assegnato casualmente i partecipanti a due gruppi e hanno misurato l'esito dopo otto settimane.
gd1_052	2	F11_scientific_literature	it	answer	2	design	casuale	Quale elemento del disegno è espresso?
gd1_052	3	F11_scientific_literature	it	answer	2	time	otto_settimane	Quando è stato misurato l'esito?
gd1_052	4	F11_scientific_literature	it	clarify	3	missing_result	effetto	Il periodo dice quale gruppo è migliorato?
gd1_052	5	F11_scientific_literature	it	explain	3	method_result	metodo	Distingui metodo e risultato non fornito.
gd1_052	6	F11_scientific_literature	it	explain	3	procedure_extraction	passi	Estrai la procedura descritta senza inventare parametri mancanti.
gd1_053	1	F11_scientific_literature	en	ack	1	observational	association	The observational study found an association between exposure and outcome after adjustment for age.
gd1_053	2	F11_scientific_literature	en	answer	2	study_type	observational	What kind of study is named?
gd1_053	3	F11_scientific_literature	en	answer	2	adjustment	age	What variable was adjusted for?
gd1_053	4	F11_scientific_literature	en	clarify	3	causality	causes	Does association establish that exposure causes the outcome?
gd1_053	5	F11_scientific_literature	en	explain	3	confounding	unmeasured	Name the general limitation without inventing a specific confounder.
gd1_053	6	F11_scientific_literature	en	explain	3	calibrated_claim	association	Restate the conclusion at the supported strength.
gd1_054	1	F11_scientific_literature	it	ack	1	results	intervallo	La stima era 1,2 con intervallo di confidenza da 0,9 a 1,5.
gd1_054	2	F11_scientific_literature	it	answer	2	estimate	1_2	Qual è la stima puntuale?
gd1_054	3	F11_scientific_literature	it	answer	2	interval	0_9_1_5	Quali sono gli estremi dell'intervallo?
gd1_054	4	F11_scientific_literature	it	clarify	3	interpretation	null_value	Possiamo dire che l'effetto sia sicuramente diverso da uno?
gd1_054	5	F11_scientific_literature	it	explain	3	uncertainty	precisione	Spiega l'incertezza senza chiamare probabilità ciò che non è dichiarato.
gd1_054	6	F11_scientific_literature	it	explain	3	structured_result	stima_intervallo	Riporta stima e intervallo separatamente.
gd1_055	1	F11_scientific_literature	en	ack	1	review	studies	The review included twelve studies, but heterogeneity prevented a single pooled estimate.
gd1_055	2	F11_scientific_literature	en	answer	2	count	twelve	How many studies were included?
gd1_055	3	F11_scientific_literature	en	answer	2	limit	heterogeneity	What prevented pooling?
gd1_055	4	F11_scientific_literature	en	clarify	3	overclaim	no_effect	Does failure to pool mean there was no effect?
gd1_055	5	F11_scientific_literature	en	explain	3	reasoning	absence_of_summary	Distinguish absence of one summary estimate from evidence of absence.
gd1_055	6	F11_scientific_literature	en	explain	3	calibrated_summary	review	Summarize claim, method boundary, and limitation.
gd1_056	1	F12_mixed_code_math	it	answer	1	malformed_math	2_plus3	Quanot fa 2 +3
gd1_056	2	F12_mixed_code_math	it	answer	1	compact_math	10minus4	E 10-4?
gd1_056	3	F12_mixed_code_math	it	answer	1	word_digit	otto_plus2	calcola otto +2 pls
gd1_056	4	F12_mixed_code_math	it	clarify	2	ambiguous_operator	2_x3	2 x3, con x intendo moltiplicazione
gd1_056	5	F12_mixed_code_math	it	answer	2	negative_number	minus2_plus5	poi -2 +5 quanto fa
gd1_056	6	F12_mixed_code_math	it	explain	2	trace	operatori	Dimmi quali operatori hai usato, non correggere parole inutili.
gd1_057	1	F12_mixed_code_math	en	ack	1	code_context	c	I'm debugging C, not C++.
gd1_057	2	F12_mixed_code_math	en	explain	2	code_noise	null	why this segfault? ptr maybe NULL idk
gd1_057	3	F12_mixed_code_math	en	clarify	2	missing_code	snippet	I haven't pasted the snippet yet.
gd1_057	4	F12_mixed_code_math	en	ack	1	code_snippet	dereference	The line is `return node->next->value;` and node can be NULL.
gd1_057	5	F12_mixed_code_math	en	explain	3	causal_debug	node	Identify the first unsafe dereference.
gd1_057	6	F12_mixed_code_math	en	plan	3	fix_verify	guard_test	Propose a general fix and one verification, without inventing the struct.
gd1_058	1	F12_mixed_code_math	it	plan	1	command	file	Devo cercare TODO nei file C, come procedo?
gd1_058	2	F12_mixed_code_math	it	clarify	2	scope	repository	Prima chiedimi in quale repository.
gd1_058	3	F12_mixed_code_math	it	ack	1	scope	src	Nel repository corrente, solo sotto src.
gd1_058	4	F12_mixed_code_math	it	plan	2	tool	rg	Dammi un comando con rg che non modifichi file.
gd1_058	5	F12_mixed_code_math	it	explain	2	safety	read_only	Spiega perché è read-only.
gd1_058	6	F12_mixed_code_math	it	clarify	3	followup	replace	Poi sostituiscili tutti automaticamente.
gd1_059	1	F12_mixed_code_math	en	answer	1	units	meters	Convert 2.5 meters to centimeters.
gd1_059	2	F12_mixed_code_math	en	explain	2	procedure	factor	Show the conversion factor.
gd1_059	3	F12_mixed_code_math	en	clarify	2	ambiguous_unit	m	Now convert 3 m to m.
gd1_059	4	F12_mixed_code_math	en	repair	2	disambiguation	minutes	The second m means minutes, so that request was malformed.
gd1_059	5	F12_mixed_code_math	en	clarify	3	dimension_mismatch	length_time	Can meters be converted to minutes without more information?
gd1_059	6	F12_mixed_code_math	en	explain	3	boundary	relation	State what relation would be needed.
gd1_060	1	F12_mixed_code_math	it	plan	1	algorithm	duplicati	Ho una lista di interi e voglio rimuovere i duplicati.
gd1_060	2	F12_mixed_code_math	it	clarify	2	constraint	ordine	Prima chiedi se devo preservare l'ordine.
gd1_060	3	F12_mixed_code_math	it	ack	1	constraint	preserva	Sì, preservalo.
gd1_060	4	F12_mixed_code_math	it	clarify	2	constraint	memoria	E chiedi se posso usare memoria extra.
gd1_060	5	F12_mixed_code_math	it	ack	1	constraint	lineare	Sì, ma voglio tempo atteso lineare.
gd1_060	6	F12_mixed_code_math	it	plan	3	algorithm_choice	hash_set	Proponi la procedura e spiega il compromesso.
