data	piolo	modulo	domanda	risposta
2026-09-19-1355	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1355	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1355	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1355	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-2136	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-2136	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-2136	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-2136	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-2137	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-2137	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-2137	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-2137	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-2137	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-2137	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-2137	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-2148	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-2148	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-2148	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-2148	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-2150	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-2150	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-2150	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-2150	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-2150	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-2150	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-2150	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-2152	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-2152	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-2152	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-2152	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-2155	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-2155	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-2155	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-2155	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-2155	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-2155	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-2155	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-2200	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-2200	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-2200	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-2200	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-2202	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-2202	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-2202	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-2202	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-2202	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-2202	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-2202	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
